,neuron_idx,ctrl_cell_class,damgo_cell_class,gnap01_cell_class,gnap03_cell_class,gnap05_cell_class,damgo_gnap01_cell_class,damgo_gnap03_cell_class,damgo_gnap05_cell_class,num_exc_inputs,num_inh_inputs
0,0,quiescent,quiescent,burst,burst,burst,quiescent,quiescent,burst,1.0,0.0
1,1,quiescent,quiescent,quiescent,burst,burst,quiescent,quiescent,quiescent,1.0,1.0
2,2,quiescent,quiescent,quiescent,burst,burst,quiescent,quiescent,burst,4.0,0.0
3,3,quiescent,quiescent,burst,burst,burst,quiescent,quiescent,burst,3.0,1.0
4,4,quiescent,quiescent,quiescent,burst,burst,quiescent,quiescent,burst,3.0,2.0
5,5,quiescent,quiescent,burst,burst,burst,quiescent,quiescent,burst,4.0,1.0
6,6,quiescent,quiescent,burst,burst,burst,quiescent,quiescent,burst,1.0,1.0
7,7,quiescent,quiescent,quiescent,burst,burst,quiescent,quiescent,burst,4.0,0.0
8,8,quiescent,quiescent,quiescent,burst,burst,quiescent,quiescent,burst,1.0,0.0
9,9,tonic,quiescent,tonic,tonic,tonic,quiescent,burst,burst,3.0,0.0
10,10,quiescent,quiescent,quiescent,burst,burst,quiescent,quiescent,quiescent,2.0,0.0
11,11,quiescent,quiescent,quiescent,burst,burst,quiescent,quiescent,burst,2.0,0.0
12,12,quiescent,quiescent,quiescent,burst,burst,quiescent,quiescent,burst,2.0,1.0
13,13,quiescent,quiescent,quiescent,burst,burst,quiescent,quiescent,quiescent,0.0,1.0
14,14,quiescent,quiescent,quiescent,burst,burst,quiescent,quiescent,quiescent,3.0,1.0
15,15,quiescent,quiescent,quiescent,burst,burst,quiescent,quiescent,quiescent,1.0,1.0
16,16,quiescent,quiescent,burst,burst,burst,quiescent,quiescent,burst,5.0,1.0
17,17,burst,quiescent,burst,tonic,tonic,quiescent,burst,burst,1.0,2.0
18,18,quiescent,quiescent,burst,burst,burst,quiescent,quiescent,burst,2.0,2.0
19,19,quiescent,quiescent,quiescent,burst,burst,quiescent,quiescent,quiescent,1.0,0.0
20,20,tonic,quiescent,tonic,tonic,tonic,burst,burst,burst,2.0,0.0
21,21,quiescent,quiescent,burst,burst,burst,quiescent,quiescent,burst,2.0,0.0
22,22,quiescent,quiescent,quiescent,burst,burst,quiescent,quiescent,burst,4.0,0.0
23,23,quiescent,quiescent,burst,burst,burst,quiescent,quiescent,burst,1.0,0.0
24,24,quiescent,quiescent,quiescent,quiescent,burst,quiescent,quiescent,quiescent,3.0,0.0
25,25,quiescent,quiescent,quiescent,burst,burst,quiescent,quiescent,quiescent,0.0,0.0
26,26,quiescent,quiescent,quiescent,quiescent,burst,quiescent,quiescent,quiescent,2.0,1.0
27,27,quiescent,quiescent,quiescent,burst,burst,quiescent,quiescent,burst,1.0,0.0
28,28,quiescent,quiescent,quiescent,burst,burst,quiescent,quiescent,quiescent,1.0,0.0
29,29,tonic,quiescent,tonic,tonic,tonic,quiescent,burst,burst,1.0,0.0
30,30,quiescent,quiescent,burst,burst,burst,quiescent,quiescent,burst,3.0,2.0
31,31,quiescent,quiescent,quiescent,burst,burst,quiescent,quiescent,quiescent,2.0,0.0
32,32,quiescent,quiescent,quiescent,quiescent,burst,quiescent,quiescent,quiescent,5.0,0.0
33,33,quiescent,quiescent,burst,burst,burst,quiescent,quiescent,burst,2.0,0.0
34,34,quiescent,quiescent,quiescent,burst,burst,quiescent,quiescent,quiescent,3.0,0.0
35,35,quiescent,quiescent,quiescent,burst,burst,quiescent,quiescent,quiescent,4.0,0.0
36,36,quiescent,quiescent,quiescent,quiescent,burst,quiescent,quiescent,quiescent,2.0,0.0
37,37,quiescent,quiescent,quiescent,burst,burst,quiescent,quiescent,quiescent,4.0,1.0
38,38,tonic,quiescent,tonic,tonic,tonic,quiescent,burst,burst,3.0,0.0
39,39,quiescent,quiescent,burst,burst,burst,quiescent,quiescent,burst,0.0,0.0
40,40,burst,quiescent,tonic,tonic,tonic,quiescent,burst,burst,4.0,0.0
41,41,quiescent,quiescent,quiescent,burst,burst,quiescent,quiescent,quiescent,1.0,1.0
42,42,quiescent,quiescent,quiescent,burst,burst,quiescent,quiescent,quiescent,2.0,1.0
43,43,quiescent,quiescent,burst,burst,burst,quiescent,quiescent,burst,4.0,0.0
44,44,burst,quiescent,tonic,tonic,tonic,quiescent,burst,burst,4.0,0.0
45,45,quiescent,quiescent,quiescent,burst,burst,quiescent,quiescent,quiescent,1.0,0.0
46,46,quiescent,quiescent,burst,burst,burst,quiescent,quiescent,burst,3.0,0.0
47,47,quiescent,quiescent,quiescent,burst,burst,quiescent,quiescent,quiescent,2.0,0.0
48,48,quiescent,quiescent,quiescent,burst,burst,quiescent,quiescent,quiescent,4.0,1.0
49,49,quiescent,quiescent,quiescent,burst,burst,quiescent,quiescent,quiescent,0.0,0.0
50,50,quiescent,quiescent,quiescent,burst,burst,quiescent,quiescent,quiescent,3.0,2.0
51,51,tonic,quiescent,tonic,tonic,tonic,tonic,burst,burst,4.0,1.0
52,52,quiescent,quiescent,quiescent,burst,burst,quiescent,quiescent,quiescent,0.0,0.0
53,53,quiescent,quiescent,quiescent,burst,burst,quiescent,quiescent,quiescent,3.0,0.0
54,54,quiescent,quiescent,burst,burst,burst,quiescent,quiescent,burst,1.0,1.0
55,55,quiescent,quiescent,quiescent,burst,burst,quiescent,quiescent,quiescent,4.0,3.0
56,56,quiescent,quiescent,quiescent,burst,burst,quiescent,quiescent,quiescent,0.0,1.0
57,57,burst,quiescent,tonic,tonic,tonic,quiescent,burst,burst,1.0,2.0
58,58,quiescent,quiescent,quiescent,burst,burst,quiescent,quiescent,burst,2.0,1.0
59,59,burst,quiescent,burst,tonic,tonic,quiescent,burst,burst,1.0,0.0
60,60,quiescent,quiescent,quiescent,quiescent,burst,quiescent,quiescent,quiescent,2.0,3.0
61,61,tonic,quiescent,tonic,tonic,tonic,burst,burst,burst,4.0,2.0
62,62,tonic,quiescent,tonic,tonic,tonic,burst,burst,burst,4.0,2.0
63,63,quiescent,quiescent,quiescent,burst,burst,quiescent,quiescent,quiescent,2.0,1.0
64,64,quiescent,quiescent,quiescent,burst,burst,quiescent,quiescent,quiescent,2.0,0.0
65,65,quiescent,quiescent,burst,burst,burst,quiescent,quiescent,burst,3.0,0.0
66,66,quiescent,quiescent,quiescent,burst,burst,quiescent,quiescent,quiescent,4.0,1.0
67,67,tonic,quiescent,tonic,tonic,tonic,quiescent,burst,burst,0.0,2.0
68,68,quiescent,quiescent,quiescent,burst,burst,quiescent,quiescent,quiescent,1.0,0.0
69,69,tonic,quiescent,tonic,tonic,tonic,burst,burst,burst,5.0,2.0
70,70,quiescent,quiescent,quiescent,burst,burst,quiescent,quiescent,quiescent,5.0,0.0
71,71,quiescent,quiescent,quiescent,burst,burst,quiescent,quiescent,burst,2.0,1.0
72,72,quiescent,quiescent,quiescent,burst,burst,quiescent,quiescent,burst,4.0,2.0
73,73,quiescent,quiescent,quiescent,burst,burst,quiescent,quiescent,burst,1.0,0.0
74,74,tonic,quiescent,tonic,tonic,tonic,quiescent,burst,burst,5.0,1.0
75,75,quiescent,quiescent,quiescent,burst,burst,quiescent,quiescent,burst,4.0,0.0
76,76,tonic,quiescent,tonic,tonic,tonic,tonic,burst,burst,3.0,0.0
77,77,quiescent,quiescent,quiescent,burst,burst,quiescent,quiescent,burst,1.0,0.0
78,78,burst,quiescent,tonic,tonic,tonic,quiescent,burst,burst,1.0,0.0
