,neuron_idx,ctrl_cell_class,damgo_cell_class,gnap01_cell_class,gnap03_cell_class,gnap05_cell_class,damgo_gnap01_cell_class,damgo_gnap03_cell_class,damgo_gnap05_cell_class,num_exc_inputs,num_inh_inputs
0,0,quiescent,quiescent,quiescent,burst,burst,quiescent,quiescent,burst,1.0,1.0
1,1,quiescent,quiescent,quiescent,quiescent,burst,quiescent,quiescent,quiescent,2.0,0.0
2,2,quiescent,quiescent,quiescent,burst,burst,quiescent,quiescent,burst,4.0,0.0
3,3,quiescent,quiescent,quiescent,quiescent,burst,quiescent,quiescent,quiescent,4.0,0.0
4,4,quiescent,quiescent,quiescent,quiescent,burst,quiescent,quiescent,quiescent,5.0,1.0
5,5,quiescent,quiescent,quiescent,burst,burst,quiescent,quiescent,quiescent,4.0,1.0
6,6,quiescent,quiescent,quiescent,burst,burst,quiescent,quiescent,quiescent,5.0,0.0
7,7,burst,quiescent,tonic,tonic,tonic,quiescent,quiescent,burst,2.0,0.0
8,8,quiescent,quiescent,quiescent,burst,burst,quiescent,quiescent,quiescent,3.0,1.0
9,9,burst,quiescent,burst,tonic,tonic,quiescent,burst,burst,1.0,0.0
10,10,quiescent,quiescent,burst,burst,burst,quiescent,quiescent,burst,2.0,1.0
11,11,quiescent,quiescent,quiescent,burst,burst,quiescent,quiescent,burst,3.0,0.0
12,12,quiescent,quiescent,quiescent,burst,burst,quiescent,quiescent,quiescent,0.0,3.0
13,13,quiescent,quiescent,quiescent,quiescent,burst,quiescent,quiescent,quiescent,3.0,1.0
14,14,quiescent,quiescent,quiescent,burst,burst,quiescent,quiescent,quiescent,0.0,0.0
15,15,quiescent,quiescent,quiescent,burst,burst,quiescent,quiescent,burst,1.0,1.0
16,16,quiescent,quiescent,quiescent,burst,burst,quiescent,quiescent,quiescent,2.0,2.0
17,17,quiescent,quiescent,quiescent,burst,burst,quiescent,quiescent,quiescent,0.0,2.0
18,18,quiescent,quiescent,burst,burst,burst,quiescent,quiescent,burst,2.0,1.0
19,19,quiescent,quiescent,quiescent,burst,burst,quiescent,quiescent,burst,1.0,0.0
20,20,quiescent,quiescent,quiescent,burst,burst,quiescent,quiescent,quiescent,2.0,0.0
21,21,quiescent,quiescent,quiescent,burst,burst,quiescent,quiescent,quiescent,3.0,0.0
22,22,quiescent,quiescent,quiescent,burst,burst,quiescent,quiescent,quiescent,1.0,2.0
23,23,quiescent,quiescent,quiescent,burst,burst,quiescent,quiescent,burst,1.0,0.0
24,24,quiescent,quiescent,quiescent,burst,burst,quiescent,quiescent,quiescent,0.0,1.0
25,25,quiescent,quiescent,quiescent,burst,burst,quiescent,quiescent,quiescent,2.0,1.0
26,26,burst,quiescent,tonic,tonic,tonic,quiescent,burst,burst,2.0,0.0
27,27,quiescent,quiescent,quiescent,burst,burst,quiescent,quiescent,quiescent,1.0,2.0
28,28,quiescent,quiescent,quiescent,burst,burst,quiescent,quiescent,quiescent,1.0,0.0
29,29,tonic,burst,tonic,tonic,tonic,burst,burst,burst,3.0,0.0
30,30,quiescent,quiescent,quiescent,burst,burst,quiescent,quiescent,quiescent,2.0,1.0
31,31,quiescent,quiescent,quiescent,burst,burst,quiescent,quiescent,quiescent,3.0,0.0
32,32,quiescent,quiescent,quiescent,burst,burst,quiescent,quiescent,quiescent,2.0,0.0
33,33,quiescent,quiescent,quiescent,quiescent,burst,quiescent,quiescent,quiescent,1.0,0.0
34,34,quiescent,quiescent,quiescent,burst,burst,quiescent,quiescent,quiescent,2.0,1.0
35,35,quiescent,quiescent,quiescent,burst,burst,quiescent,quiescent,burst,1.0,0.0
36,36,burst,quiescent,burst,burst,burst,quiescent,quiescent,burst,2.0,0.0
37,37,quiescent,quiescent,burst,burst,burst,quiescent,quiescent,burst,2.0,1.0
38,38,quiescent,quiescent,quiescent,burst,burst,quiescent,quiescent,quiescent,2.0,0.0
39,39,quiescent,quiescent,quiescent,burst,burst,quiescent,quiescent,quiescent,0.0,0.0
40,40,quiescent,quiescent,quiescent,burst,burst,quiescent,quiescent,burst,0.0,0.0
41,41,quiescent,quiescent,quiescent,burst,burst,quiescent,quiescent,quiescent,1.0,0.0
42,42,quiescent,quiescent,quiescent,burst,burst,quiescent,quiescent,quiescent,3.0,0.0
43,43,quiescent,quiescent,quiescent,burst,burst,quiescent,quiescent,quiescent,2.0,0.0
44,44,quiescent,quiescent,quiescent,burst,burst,quiescent,quiescent,quiescent,4.0,1.0
45,45,quiescent,quiescent,burst,burst,burst,quiescent,quiescent,burst,3.0,0.0
46,46,quiescent,quiescent,quiescent,burst,burst,quiescent,quiescent,quiescent,2.0,3.0
47,47,burst,quiescent,tonic,tonic,tonic,quiescent,burst,burst,1.0,1.0
48,48,quiescent,quiescent,quiescent,burst,burst,quiescent,quiescent,quiescent,2.0,1.0
49,49,quiescent,quiescent,burst,burst,burst,quiescent,quiescent,burst,3.0,0.0
50,50,quiescent,quiescent,quiescent,quiescent,burst,quiescent,quiescent,quiescent,1.0,1.0
51,51,quiescent,quiescent,quiescent,burst,burst,quiescent,quiescent,quiescent,1.0,1.0
52,52,quiescent,quiescent,quiescent,burst,burst,quiescent,quiescent,quiescent,1.0,1.0
53,53,quiescent,quiescent,quiescent,burst,burst,quiescent,quiescent,quiescent,0.0,1.0
54,54,quiescent,quiescent,quiescent,quiescent,burst,quiescent,quiescent,quiescent,5.0,0.0
55,55,quiescent,quiescent,quiescent,burst,burst,quiescent,quiescent,burst,1.0,0.0
56,56,quiescent,quiescent,quiescent,burst,burst,quiescent,quiescent,burst,2.0,0.0
57,57,quiescent,quiescent,quiescent,burst,burst,quiescent,quiescent,quiescent,5.0,0.0
